comments,hate,label,predicted,correct,error_type
손담비는 기안급 치트키다,none,0,1,False,짧은 댓글
구하라 벌금 200만원전남친 징역 6개월에 집행유예 2년 성폭력예방교육이수 40시간~~~끝,none,0,1,False,문맥 의존적 표현
김흥국 불쌍하다 진짜 뭔가 계속 터지는게 일부러 누가 그러는듯,none,0,1,False,문맥 의존적 표현
당연히 사과하는게 맞지. 공개적으로 팔로우사실 공개해서 전국구로 망신준게 분명 무슨 의도가 있다고밖에볼수없음.. 게다가 장성규 유부남이잖아? 이게 대놓고 작정하고 욕먹이려고 한게 아님 뭐임?,none,0,1,False,문맥 의존적 표현
참 을마나 지났다고 겨 나오냐? 제발 자중좀 해라,none,0,1,False,완곡한 비판 표현
최진혁 연기 쩌네. 오늘 연기 지렸다,none,0,1,False,속어/신조어 혼동
작품마다 헤어스타에 따라 얼굴이 다 다르다희한하고 요상하다 이남자다,none,0,1,False,외모 관련 표현
무도에 네 자리는 없다 넘보지마라,none,0,1,False,문맥 의존적 표현
양복ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 정준호 답닼ㅋㅋㅋㅋㅋㅋㅋㅋ,none,0,1,False,속어/신조어 혼동
돈많으면 쓰던거 버리고 새것 사야지.. 잘했어 용대야..,none,0,1,False,문맥 의존적 표현
디패 추가공식입장내길바란다 저렇게 무성의하게 조작됐고 아는바없다만 올리지말고..내부든 외부든 누가조작했는지 밝혀내겠다 혼선드려 죄송하다 두사람에게 사과한다 등 내야하는거 아닌가,none,0,1,False,완곡한 비판 표현
언제까지 우려 먹을꺼지? 1박2일때도 그렇고 뭔 강호동하고 이만기만 만났다 하면 콩트 찍는것도 아니고...나참,none,0,1,False,문맥 의존적 표현
파크랜드 광고찍냐 정장오지네,none,0,1,False,짧은 댓글
근데 김지석은 나올 짬밥이 아닌데,none,0,1,False,문맥 의존적 표현
슈퍼비는 이제 그만나올때도 되지않았누?,none,0,1,False,완곡한 비판 표현
"연예인 같지도 않은 애들한테 왜 이렇게 휩쓸려 이용이나 당하는지, 당하는 여자애들도 정신 차리길 바란다. 제발~~",none,0,1,False,문맥 의존적 표현
내가 전소민처럼 머리 자르면 진짜 여즉도로 가야것지?,none,0,1,False,문맥 의존적 표현
기사제목만 봐도 노잼냄세나네ㅋㅋㅋ,none,0,1,False,속어/신조어 혼동
근데 이건 솔직히 불법영업인지 모를수도 있을것같은데..그냥 유흥업소인건 알앗을거고...,none,0,1,False,문맥 의존적 표현
요즘 화보나 광고사진보면 전부 한쪽눈 가린거 볼수 있다 일루미나티 전시안 코카콜라 김연아 버스정류장 광고도 랑콤 광고도,none,0,1,False,문맥 의존적 표현
아직 잘 몰겠음 무슨 속사정이있을듯 넘 맘이아파야 여자하나 잘못만나 그나이에 어째여,none,0,1,False,문맥 의존적 표현
ㅋㅋㅋㅋㅋ 티비조선 천사네 ㅋㅋ 50퍼센트 가져가도 되는데 25퍼센트면 혜자지,none,0,1,False,속어/신조어 혼동
민폐남주 내가 어떻게 행동해도 만월이 도울꺼니 괜찮아라니.. 그리고 까칠한 사장 직원관계에서 뭔 갑자기 커플이야,none,0,1,False,문맥 의존적 표현
하차 좀 기사도 안나게 좀 너가 가족에게 관심 가지지 말라며 기자랑 방송은 뭐냐,none,0,1,False,완곡한 비판 표현
참 앵간히 관리 했구나..저러고 싶을까,none,0,1,False,문맥 의존적 표현
짝짖기 프로 광고질 그만해라,none,0,1,False,짧은 댓글
별 시덥지않은 악플들은 모냐,none,0,1,False,짧은 댓글
솔직히 맞는 말. 기부는 유행 아니고 성유리정도면 꾸준히 기부하는 단체 있을거임. 지목당하면 인스타그램에 왜 안하세요? 하는 사람은 왜 그러는거임? 의무아니잖아ㅋㅋ 신경꺼ㅋㅋ,none,0,1,False,속어/신조어 혼동
화나고 짜증날일이지 마음의 상처로.. 뒤끝 길구나.. 뭐 얼마나 큰 피해를 봤길래,none,0,1,False,문맥 의존적 표현
누구랑결혼할지 절세미인이랑 부럽네,none,0,1,False,문맥 의존적 표현
화장끼 없는 얼굴이라고라,none,0,1,False,짧은 댓글
눈가의 주름보니 둘다 천생연분....... 핸디캡 마저 똑같네요.......,none,0,1,False,문맥 의존적 표현
반성해야함 배우는 한명도 노미네이트,none,0,1,False,문맥 의존적 표현
김생민 이제 광고10개찍은돈으로 룰루랄라 띵가띵가하면서 잘살겠다...까짓꺼 미세먼지없는나라로 이민가서 잘살면 더좋지뭐...,none,0,1,False,외모 관련 표현
아 진짜 승리 말재간 어쩌까 ㅋㅋ매력덩어리,none,0,1,False,속어/신조어 혼동
방송국 놈들이항 짜고 하는 상황일 가능성이 농후,none,0,1,False,문맥 의존적 표현
47kg면 내 몸무겐데 난 소멸되겠다.ㅎㅎ,none,0,1,False,외모 관련 표현
여기도 댓글수준이 참ㅋㅋ 애한테 못하는소리가 없고 엄마가 멀입히든 멀하든 먼상관이이야 어이가없네,none,0,1,False,속어/신조어 혼동
좀 부추기는 거 같네....젊은 애들이 연애하는데 안돼?,none,0,1,False,완곡한 비판 표현
수지가 뭔잘못ㅋㅋㅋㅋㅋㅋ어이없네 누가누굴고소한다는거야 수지 잘못한거 하나없다 사과하지말고 jyp는 일좀해라ㅡㅡ 청원글 올린사람을 고소하던가 수지가올렸냐 아님 상호명을 언급했냐 참내,none,0,1,False,속어/신조어 혼동
근데 누구래?,none,0,1,False,짧은 댓글
"에휴 그냥 곱게 봐주면 어디 덧나나 욕할께 뭐있다구 ,,,,",none,0,1,False,문맥 의존적 표현
"저정도 먹으면 외식은 극자제 될텐데. 한창 먹을때는 집에서 해결하거나, 부페로 가기마련.",none,0,1,False,문맥 의존적 표현
스탠 리 라고 써라. 뒤에 마틴까지 붙일거 아니믄.,none,0,1,False,문맥 의존적 표현
저밖에몰라..남은사람 어쩌라고. 참 이기적이네,none,0,1,False,문맥 의존적 표현
나 떨고있니?,none,0,1,False,짧은 댓글
오캐롤 수난 연속!,none,0,1,False,짧은 댓글
월 200 갈굼받으면서 힘들게 버는 직장인들 힘드신건 알겠는데 돈 많다는 이유로 다른사람 표적질 하면 안되죠~ 도끼 깎아내려봐야 니들 인생만 구차해집니다.,none,0,1,False,문맥 의존적 표현
동생 태어나면 관심을 자기쪽으로 가져오려고 유독 더 까불고 둘째는 이미 강자가 버티고 있기때문에 상대적으로 얌전한편이더라.윌리엄도 아직 애기인데 벌써 동생이 있으니 관심받고 싶겠지,none,0,1,False,문맥 의존적 표현
이유가무엇이든간에 어잿거나 저애가노력한결과라생각함넘마극성이든모든간에 몰해도안되는애가잇고 되는애가잇듯이...쟈도 본인노력도큰듯. 박수보냅니다 정우,none,0,1,False,문맥 의존적 표현
증거가 있을리가 없지 우리 승리오빠는 이용당했을뿐 무죄다,none,0,1,False,문맥 의존적 표현
딸같은건 오버 아닌가? 어디가 딸같다는 건지..,none,0,1,False,문맥 의존적 표현
엥 이쁜데? 달라보인다ㅋㅋ 외모로는 이미 배우지,none,0,1,False,속어/신조어 혼동
니 말뿐이잖아 구체적증거를 내놔 계좌이체했음 이체기록과 중고나라거래했음 거래기록,none,0,1,False,문맥 의존적 표현
무슨 아버지의 이름으로 ㅋㅋㅋㅋ 그냥 무서우니까 제일보고싶은 자식내미 부른거지 포장은 ㅋㅋㅋㅋ ㄱ,none,0,1,False,속어/신조어 혼동
김민준 예전에 기자들한테 가운데손가락 날렸었지 ㅋㅋㅋㅋㅋㅋ,none,0,1,False,속어/신조어 혼동
저번에 기사 났었는데.... 뭘또 이래 계속,none,0,1,False,문맥 의존적 표현
민폐는무슨 저정도는 할수있지 왜이리오바들이야 패션쇼를 알기나하나 욕하는거 어이가없다,none,0,1,False,문맥 의존적 표현
남송 참지말자,none,0,1,False,짧은 댓글
당시 신재호 나이 5살이었는데 5살짜리가 사기혐의에 적극적으로 개입한거 아니면 법적으로 마닷이 책임질 일은 없다 . ㅎ,none,0,1,False,외모 관련 표현
아니 근데 사실 방송타고 하면 골목상권으로좁혀서 생각안해도되지않나..? 9000원으로먹는건 그쪽 동네사람들이아니라 전국각지에서 몰려온 사람들이잖아,none,0,1,False,문맥 의존적 표현
애가 크면 자랑하고 다닐건데 조금 앞서 공개 됐다고 뭐가 문제인가?,none,0,1,False,문맥 의존적 표현
마닷 별론데 ㅋㅋㅋㅋㅋ 나중에 보면 안다,none,0,1,False,속어/신조어 혼동
왜 여자만 항상 독박육아를 해야하는지 모르겠다,none,0,1,False,문맥 의존적 표현
정말 욕먹기 싫으면 그냥 평범하게 살아라,none,0,1,False,외모 관련 표현
난 여잔데 모유비누반대함. 무엇보다 여성의 젖을 상품화한다는게 싫음. 여성의 신체는 왜 항상 상품화되어야하죠? 이시영언니도 반성했으면하네요.,none,0,1,False,문맥 의존적 표현
휘재야 한 10년만 더하자 하차는 노 화이링!!,none,0,1,False,완곡한 비판 표현
부탁해요 엄마 Part 2인가? 고두심에 이어서 김해숙도 죽일각오?,none,0,1,False,문맥 의존적 표현
1회에 교도소에서 마취도 없이 자기몸 꿰매는거랑뜨거운 커피말고 차가운거만먹는거보고아랏는데 난 무통증 무감각이라고,none,0,1,False,외모 관련 표현
아들은 제아들ㅋㅋㅋ개는 우리허쉬ㅋㄱㄱ,none,0,1,False,속어/신조어 혼동
딱 결혼각인데...ㅋ,none,0,1,False,짧은 댓글
79년생 하하 아직도 초딩캐릭터 아냐? 김종민도 그렇고 어른 이미지로 가는거 별로 안좋아할텐데,none,0,1,False,문맥 의존적 표현
유산 될수있으니 조심하세요 유산은 노노,none,0,1,False,문맥 의존적 표현
나도 식 하면 가고 싶다 ...꿈이겟지요?ㅋ,none,0,1,False,문맥 의존적 표현
린사모 터질까봐 이슈 돌리는거지 ㅋㅋ,none,0,1,False,속어/신조어 혼동
말 좀 생각해보고 해라 악플러들아 다 본인에게로 돌아간다,none,0,1,False,완곡한 비판 표현
대마는 절대로 하지말자,none,0,1,False,짧은 댓글
"기승전 댓글(악플)..... 연예관계자들 여론몰이 편하게 댓글탓. 크리스탈은 모르겠고, 아이유 기사 올라온거 보니 선플 만 많던데?",none,0,1,False,문맥 의존적 표현
차판다고 하지 아노았나..,none,0,1,False,짧은 댓글
효녀라 좋았는데...혜나 미워하는 인간들은 뭐지!!,none,0,1,False,문맥 의존적 표현
느무 재미 없다.,none,0,1,False,짧은 댓글
뽑힌 애들도 안됐다..주작논란에 탈락 연생들이 더 인기있고.. 앞으로 우째됄지,none,0,1,False,문맥 의존적 표현
고마하지 좀~ 사람 그만 괴롭히고~,none,0,1,False,완곡한 비판 표현
악플 단 애들 다 루저들인가?,none,0,1,False,문맥 의존적 표현
남자로서 혜나보면 미혼모의 낙태는 필요한듯. 엄마 사랑받고 자랐지만 결국 그존재조차 모르는 부친에 대한 복수와 원망이 가득하네요. 혜나아빠는 뭔죄? 당사지간 연예문제는 당사자의 문제일뿐인데 최소한 임신여부는 알렸어야 함,none,0,1,False,문맥 의존적 표현
동성이면 어떻고 연상이면 어때 둘이 좋다는데 쓸데없는 일이 에너미 쓰지 말고 날 추워지는데 취약계층과 유기동물 걱정이나 합시다,none,0,1,False,문맥 의존적 표현
남이사 성형을 하든말든~~ 자기얼굴 자기가 고치겠다는데 배놔라 감놔라 말들이 많아 니돈 으로 하겠다냐??,none,0,1,False,외모 관련 표현
근데 신소율이 뭐하는 사람이죠???,none,0,1,False,문맥 의존적 표현
다른 사람과 다름을 인정해 주면 되는데틀리다고 잣대질 하는 사람들늙닭이니 틀탁이니 기성세대 욕하는 젊은 세대의꼰대질 내가 못하는 걸 하니까 틀리다고,none,0,1,False,문맥 의존적 표현
개웃김 ㅋㅋㅋㅋㅋㅋㅋㅋ,none,0,1,False,짧은 댓글
아니 결혼해서 아이 낳은게 그렇게 욕먹을 일인가 진짜 ㅋㅋㅋㅋㅋㅋㅋ 축하해주지는 못할 망정 악플이나 남기네 보기 진짜 안좋다,none,0,1,False,속어/신조어 혼동
솔직히 시집잘갔잖아부럽긴하지,none,0,1,False,짧은 댓글
삼시새끼 다시먹으면 요요옵니다 식이조절 잘하시길 ㅡ다이어트 요요 경험자가ㅡ,none,0,1,False,문맥 의존적 표현
도희가 없어서 긍가,none,0,1,False,짧은 댓글
그래도 욕은 하지마라.. 니들 모르게 썩은재료에 위생더러운 음식점이 얼마나많은데.. 차라리 맛없는게 낫지,none,0,1,False,문맥 의존적 표현
내가 저기있음 현주올인한다 좋은 여자임 웃어주는 사람이랑 있음 행복하지 왜웃냐고 따지는 사람들이 이상한거임,none,0,1,False,문맥 의존적 표현
며느리도 남편도 시댁도 다 똑.같.이 처음부터 끝까지 비호감가족.하차했다니..담주부터는 이나리 다시봐야지,none,0,1,False,완곡한 비판 표현
ㄴㅏ경원 미모 봐라. 실화냐?,none,0,1,False,문맥 의존적 표현
만 17살이면 고3인데 2살차이나면 만날수도잇지,none,0,1,False,외모 관련 표현
미안해요 식은 붕어빵 먹게해서...,none,0,1,False,문맥 의존적 표현
연세대가 뭐 어때서.. 뉴욕대보다 못하진 않을거 같은데 ㅋㅋㅋㅋ,none,0,1,False,속어/신조어 혼동
의문을 가질수도 있지 네티즌들이 판을 키웠네,none,0,1,False,외모 관련 표현
솔직히 다른걸로는 깔 수 있어도 외모로는 못 깜 ㅋㅋㅋㅋ,none,0,1,False,속어/신조어 혼동
김병만이 뭔 잘못...?,none,0,1,False,짧은 댓글
저 프로듀서 유투브 컨텐츠 빨아먹는거 짜증나더라 불법은 아니다 그런데 빨아먹을라고 밑밥깔고 자기것만 홍보하고 정작 진행자 페이지는 홍보안하고..ㅉㅉ,none,0,1,False,문맥 의존적 표현
여자들 진짜 질투 개쩌넼ㅋㅋㅋㅋㅋㅋㅋ,none,0,1,False,속어/신조어 혼동
사실이어도 자식은 잘못없지 대한민국은 연좌제없잖아,none,0,1,False,문맥 의존적 표현
럴수럴수 이럴수!구리구리 양동근ㅋ축하합니다ㅎㅎ,none,0,1,False,문맥 의존적 표현
역시 헬조선에선 금수저로 태어나야해!!!,none,0,1,False,문맥 의존적 표현
적잖은 나이일텐데 ᆢ결혼 해아지요 ~,none,0,1,False,문맥 의존적 표현
악플달면 삶이 좀 나아지냐?????????????,none,0,1,False,완곡한 비판 표현
내꺼 넘보지마,none,0,1,False,짧은 댓글
가정과 딸이 있는 사람은 건드리지 말자,none,0,1,False,문맥 의존적 표현
장사 잘되면 옮기는게 좋지 좋은 동네로 저정도면 강남서 2만원 받아도 먹을 사람은 먹어 9000원은 진짜 자원봉사네 백종원 체인땡도 저정도 갓성비 전혀 없음,none,0,1,False,문맥 의존적 표현
후기 올라온거 보면ㅋㅋㅋㅋㅋ요리안하고 서빙이랑 카운터만 본다고함ㅋㅋㅋㅋㅋ케,none,0,1,False,속어/신조어 혼동
김보미가 더 유명하지 않냐? 골프계의 아이돌인데,none,0,1,False,문맥 의존적 표현
나만 비연예인이 더 싫은가 이세상에 연예인과 비연예인 둘만 존재하는것도 아니고..ㅋ,none,0,1,False,문맥 의존적 표현
쩝 진짜 공개연애의 나쁜예ㅜㅜ,none,0,1,False,문맥 의존적 표현
몬일이 일어났음 좋겠다라는 식으로 이상하네 요상하네 라고 댓글다는것들 뭐냐..?,none,0,1,False,문맥 의존적 표현
지창욱배우님 얼굴 공개 한것에 사과해라.제대와 복귀 얼마남지 않는 배우에게 무슨 횡패인가,none,0,1,False,외모 관련 표현
전현무 승ㅡ 개부럽다ㅡ 열심히 살았어야 대는데,none,0,1,False,외모 관련 표현
"이번엔 경로우대 대상(주말극 ,일일극, 대하극아버지어머니역할) 아니라 제대로 된 대상같음",none,0,1,False,문맥 의존적 표현
근데 군인은22시이후 외출 불가능아니냐? 군법아님?,none,0,1,False,문맥 의존적 표현
그놈의 버닝이 문제군,none,0,1,False,짧은 댓글
요즘은 그냥 태생이 못된건지....아님 지들 삶이 여유가 없어서 못되진건지....정말 못된 심보를 가진 사람이 너무 많아. 여기 댓글들과 그 못된 댓글 추천수만 봐도 참...답이 없음.,none,0,1,False,문맥 의존적 표현
신성일은 탈코리안 마인드지....이분은 시대를 잘못탄게 아니라 지대를 잘못탄분...,none,0,1,False,문맥 의존적 표현
남자가 잘못한거라면... 반성도 없다면...나였다면 ... 여자처럼 아주 못되게 할것같다왜??? 나를 배신한거니까,none,0,1,False,문맥 의존적 표현
머리카락좀 묶어주라.. 애 덥겠다,none,0,1,False,완곡한 비판 표현
연예인들 다들 필라테스 하나 보네 재미 있나?,none,0,1,False,문맥 의존적 표현
토 ㆍㆍㆍㆍㆍㆍ,none,0,1,False,짧은 댓글
"걍 조용히 사세요. 티비, 인터넷에서 안 봤으면 하네요. 서로 얼굴 붉히지 맙시다!!",none,0,1,False,외모 관련 표현
신랑은 모함? 난밥잘먹었는대 4끼 .. 그래서 살이 안빠짐 ㅜㅜ,none,0,1,False,외모 관련 표현
흥국아재 기러기아빠잖음. . . 티비서보니 고생이 심하던데. . .,none,0,1,False,문맥 의존적 표현
노력마니 하네. 언니 존경합니다. 물론 부모님 재력이 뒷받침되었겠지만. 그래도 유학가서 공부안하고 노는애들진짜 많은데,none,0,1,False,문맥 의존적 표현
필모커플 비호감,none,0,1,False,짧은 댓글
누가 앵두를 찍었다고 거짓말을 대놓고 하냐 ㅋㅋ,none,0,1,False,속어/신조어 혼동
임산부에 헐 대구라니 ㄷㄷㄷㄷㄷㄷ 집에 만 박혀있어요 누나 ㅜㅜㅜ,none,0,1,False,문맥 의존적 표현
한국와서살면 그정돈 아무것도아닐텐데....이참에 귀화해라,none,0,1,False,외모 관련 표현
초중등생때부터 박남정이 데리고 방송출연 시키더니 슬슬 제대로 활동하려고 하나보네,none,0,1,False,외모 관련 표현
돈 스파이크 빼고는 다 비호감 출연진들이라 시청할 생각 없음,none,0,1,False,문맥 의존적 표현
근대 불법이거알면서 방송에 내보내쓸까?이슈될꺼뻔한대? 음 머지,none,0,1,False,문맥 의존적 표현
손승연 가왕 이후에 계속 라인업 개폭망임 섭외할사람 떨어졌으면 그만하던가... 재미없어 ㅡ,none,0,1,False,완곡한 비판 표현
살아있는게신기ㄷㄷ 쌈디나이가 거의마흔인데 어릴때실종됐는데 ㄷ,none,0,1,False,외모 관련 표현
딱보면 부사장 숨겨논 딸이지... 그러니 와이프가 기다리는데 간거고,none,0,1,False,문맥 의존적 표현
전현무 쌍코피 터지겟다....ㅋㅋㅋㅋ,none,0,1,False,속어/신조어 혼동
자기가 로다주 인줄 아는..,none,0,1,False,짧은 댓글
이제 음악좀 듣자. 충분히 자숙했다.,none,0,1,False,완곡한 비판 표현
남자들의 로망 신수지... 너마저,none,0,1,False,문맥 의존적 표현
여러분 절대 보지마세요.. 드럽게 재미없는 3류영화입니다 !!!,none,0,1,False,문맥 의존적 표현
일반인이 연예인 사칭하는 거 보기 안 좋은 듯...자기 발로 연예인 하기 싫다고 뛰쳐나갔으면예능 하차하는 게 맞지전 연예인이라고 전관예우인가빨리 아들 데리고 나가세요,none,0,1,False,완곡한 비판 표현
대통령 연설하는데 재수없게시리쯔쯔.,none,0,1,False,문맥 의존적 표현
정우성 버금가는 셀카바보..... 어쩜 저렇게 셀카를 못찍음...? 그럴거면 그 얼굴 나 좀...,none,0,1,False,완곡한 비판 표현
음악퀄은 아직도 3사중에선 오이지야 음악 뮤비 무대 돈을 안아껴,none,0,1,False,문맥 의존적 표현
이렇게하고 제주도 여성 실종 실검 쏙 들어감 어디로 사라짐?,none,0,1,False,문맥 의존적 표현
독끼..나이는.어리지만 멋지네..,none,0,1,False,문맥 의존적 표현
화장지웠구만뭘 원래순한인상인데 눈화장때문에 쎄보인것 순둥한얼굴임,none,0,1,False,외모 관련 표현
남주여주가.. 밍숭맹숭한데..,none,0,1,False,문맥 의존적 표현
혼전임신이 뭐 요즘 흉도 아니고..혼수라며ㅎ 오히려 요즘 시부모들은 자식들 나이들어 결혼하다보니 불임이니 딩크족보다 차라리 낫다고 좋아하는 분위기라고 그러더라구요,none,0,1,False,문맥 의존적 표현
남녀를 떠나 만 16세 이상인가는 합의하에 성관계해도 불법이아닌데 뭔상관... 돈있으면 일찍 결혼해서 일찍 애낳아 남들보다 중년때 즐기고살기 더좋겠구만,none,0,1,False,외모 관련 표현
신정환 출연시킨뒤로 관심끊은 프로,none,0,1,False,문맥 의존적 표현
몰몬교 선교사 출신이 필로폰 했다는 게 믿기지가 않는디....,none,0,1,False,문맥 의존적 표현
타이슨 부인 건든놈.. 진짜 대단하다 ㅋㅋㅋ,none,0,1,False,속어/신조어 혼동
여자 이쁘다.. 저러니 사귀지 부럽다,none,0,1,False,문맥 의존적 표현
전쟁기념관 가는게 이제 추세여?,none,0,1,False,문맥 의존적 표현
최명길 김소연 모녀로 질질 끌더니 김해숙 조연인가 했더니 암설정으로 연기 포텐 터지게 하는 ㅋㅋ 또 유선 김소연 울고불고 ㅠ 이번엔 김해숙 대상가자,none,0,1,False,속어/신조어 혼동
가정폭력 피해자한테 그만합시다. 21살은 엄마가 되기에 어렸네요.세상물정도 몰랐을테고요...전남편 하는짓이 완전 ㅇㅇㅊ..힘내세요 이혼잘했어요.마음껏 날아봐요~,none,0,1,False,완곡한 비판 표현
오늘 기안 휴지로봇이 살렸네 ㅋㅋ,none,0,1,False,속어/신조어 혼동
"로이킴도 똑같다면, 유유상종 이다. 그래도 로이는 아니었음 좋겠다.",none,0,1,False,문맥 의존적 표현
이본숙이 아니가!,none,0,1,False,짧은 댓글
"어이, 난 「 너 」를 잊어버린건가--",none,0,1,False,문맥 의존적 표현
호감2에 비호감2 이젠 딱 좋아,none,0,1,False,문맥 의존적 표현
박경은 다른일 알아봐라 머리 쓰는 쪽으로.. 가수로는 빛을 못볼거 같다,none,0,1,False,문맥 의존적 표현
이드라마안봐도 뻔한스토리 역시 폐암 말기였어,none,0,1,False,문맥 의존적 표현
"3번으로 탈락을 면 했군, 이제 술수를 부리지말라~티가난다!",none,0,1,False,문맥 의존적 표현
참나 통편집까지... 유영현만 안 나오면 되지이해가 안가네,none,0,1,False,문맥 의존적 표현
아빠가 거기서 왜 나와 ㅋㅋㅋㅋㅋㅋㅋ......,none,0,1,False,속어/신조어 혼동
전두환 며느리 박상아라던데,none,0,1,False,짧은 댓글
진짜 난 송혜교 이쁜지 모르겠음. 참고로 31살 남자임.내 블로그 들어오면 알겠지만 남자 맞음.근데 진짜로 난 정미애가 더 이쁠거같음...,none,0,1,False,외모 관련 표현
미투 최대 피해자김생민ᆢ불쌍해,none,0,1,False,문맥 의존적 표현
방정현이라...조선일보 일가 아니야?? 심각하게 의심드는데,none,0,1,False,문맥 의존적 표현
