comments,hate,label,bert_pred,bert_correct,lora_pred,lora_correct
와우! 진짜 젖가슴이 크다!!!! 가슴이 찢어지면 안돼~ 돼~ 돼~~헉,hate,1,1,True,0,False
한혜진하차가정답일듯 개인감정을앞세워방송하면안되죠,offensive,1,1,True,0,False
임신하는 과정은 왜 안찍나요??,offensive,1,1,True,0,False
듣보인데 왜 기사를?,offensive,1,1,True,0,False
디패 추가공식입장내길바란다 저렇게 무성의하게 조작됐고 아는바없다만 올리지말고..내부든 외부든 누가조작했는지 밝혀내겠다 혼선드려 죄송하다 두사람에게 사과한다 등 내야하는거 아닌가,none,0,0,True,1,False
언제까지 우려 먹을꺼지? 1박2일때도 그렇고 뭔 강호동하고 이만기만 만났다 하면 콩트 찍는것도 아니고...나참,none,0,0,True,1,False
근데 이건 솔직히 불법영업인지 모를수도 있을것같은데..그냥 유흥업소인건 알앗을거고...,none,0,0,True,1,False
요즘 화보나 광고사진보면 전부 한쪽눈 가린거 볼수 있다 일루미나티 전시안 코카콜라 김연아 버스정류장 광고도 랑콤 광고도,none,0,0,True,1,False
ㅋㅋㅋㅋㅋ 티비조선 천사네 ㅋㅋ 50퍼센트 가져가도 되는데 25퍼센트면 혜자지,none,0,0,True,1,False
화나고 짜증날일이지 마음의 상처로.. 뒤끝 길구나.. 뭐 얼마나 큰 피해를 봤길래,none,0,0,True,1,False
이미 개싸움인데 솔직히 구하라가 만든 상황일수도 있다,offensive,1,1,True,0,False
누구랑결혼할지 절세미인이랑 부럽네,none,0,0,True,1,False
반성해야함 배우는 한명도 노미네이트,none,0,0,True,1,False
관종인건 확실함...,hate,1,1,True,0,False
진짜 욕심많아 보이게 생겼다..,offensive,1,1,True,0,False
피해자 사촌형은 연예인친구 많아서 좋겠네...,offensive,1,1,True,0,False
박민영 너무 삭았네,offensive,1,1,True,0,False
"에휴 그냥 곱게 봐주면 어디 덧나나 욕할께 뭐있다구 ,,,,",none,0,0,True,1,False
"저정도 먹으면 외식은 극자제 될텐데. 한창 먹을때는 집에서 해결하거나, 부페로 가기마련.",none,0,0,True,1,False
스탠 리 라고 써라. 뒤에 마틴까지 붙일거 아니믄.,none,0,0,True,1,False
2부 잠깐 보다가 손에서 칼 잡는거 보고 바로 돌렸다 현빈 도대체 왜 이리 작품보는 눈이 없냐? 시크릿가든 이후로 마음에 드는 작품이 하나도 없다 하기야 시가도 장혁 대타였는데 그거 못했으면 현빈은 지금 B급이었을듯,hate,1,1,True,0,False
아시블 개시블,offensive,1,1,True,0,False
이유가무엇이든간에 어잿거나 저애가노력한결과라생각함넘마극성이든모든간에 몰해도안되는애가잇고 되는애가잇듯이...쟈도 본인노력도큰듯. 박수보냅니다 정우,none,0,0,True,1,False
얘는 넘 젠틀하고 아내한테 잘하고 돈 잘버는 자상한 이미지의 오상진이랑 결혼해서 그런가 ㅋㅋㅋㅋ 얘도 이쁘고 똑똑하고 야무진데 줌마들한테 진짜 욕먹네 ㅠㅠ 안쓰럽다 댓글 안봤으면... 다 열등감임 ㅠㅠ,offensive,1,1,True,0,False
엥 이쁜데? 달라보인다ㅋㅋ 외모로는 이미 배우지,none,0,0,True,1,False
하늘같은 서방이 어려움을 겪으면 함께 해체나가야지 툭하면 이혼이여,offensive,1,1,True,0,False
저번에 기사 났었는데.... 뭘또 이래 계속,none,0,0,True,1,False
당시 신재호 나이 5살이었는데 5살짜리가 사기혐의에 적극적으로 개입한거 아니면 법적으로 마닷이 책임질 일은 없다 . ㅎ,none,0,0,True,1,False
애가 크면 자랑하고 다닐건데 조금 앞서 공개 됐다고 뭐가 문제인가?,none,0,0,True,1,False
마닷 별론데 ㅋㅋㅋㅋㅋ 나중에 보면 안다,none,0,0,True,1,False
우리 장훈이 형님이 왜 이혼했는지 알긋다..오정연 이여자도 보통사람은 아닌듯..,offensive,1,1,True,0,False
백종원한테도 초심따위는 없었지,hate,1,1,True,0,False
정말 욕먹기 싫으면 그냥 평범하게 살아라,none,0,0,True,1,False
난 여잔데 모유비누반대함. 무엇보다 여성의 젖을 상품화한다는게 싫음. 여성의 신체는 왜 항상 상품화되어야하죠? 이시영언니도 반성했으면하네요.,none,0,0,True,1,False
전현무 보기싫어 . 또 나혼자산다 나와서 뭐라할까?속으로는 엄청 좋음서 겸손한척하겠지,offensive,1,1,True,0,False
아들은 제아들ㅋㅋㅋ개는 우리허쉬ㅋㄱㄱ,none,0,0,True,1,False
홍진영이 훨잘해~이번에 개실망,offensive,1,1,True,0,False
이홍기도 징역살아야 된다. 너무나 많이 사랑한 죄,offensive,1,1,True,0,False
저 할아버지 누구지...,offensive,1,1,True,0,False
이나영 분명히 동안일 텐데 이종석이랑 있으니까 엄청 늙어 보인다...,offensive,1,1,True,0,False
말 좀 생각해보고 해라 악플러들아 다 본인에게로 돌아간다,none,0,0,True,1,False
효녀라 좋았는데...혜나 미워하는 인간들은 뭐지!!,none,0,0,True,1,False
여주가 못생겨서 작품에 몰입이 잘됨.,offensive,1,1,True,0,False
자연스럽게 만나야지.. 요즘 시대에 공개 맞선이라니.. 재미없어요,offensive,1,1,True,0,False
이모 소리 안들으려면 열심히 관리해야져,offensive,1,1,True,0,False
근데 신소율이 뭐하는 사람이죠???,none,0,0,True,1,False
군대가라 좌시하지 않겠습니다 Girls can do anything 우리는 연결돼 있다,offensive,1,1,True,0,False
개웃김 ㅋㅋㅋㅋㅋㅋㅋㅋ,none,0,0,True,1,False
"이창훈,이병헌,유아인,비,현빈..그중에 송중기랑 결혼은 진짜 심하다. 솔직히 송중기랑 이혼하면 좋겠다",offensive,1,1,True,0,False
도희가 없어서 긍가,none,0,0,True,1,False
내가 저기있음 현주올인한다 좋은 여자임 웃어주는 사람이랑 있음 행복하지 왜웃냐고 따지는 사람들이 이상한거임,none,0,0,True,1,False
만 17살이면 고3인데 2살차이나면 만날수도잇지,none,0,0,True,1,False
연세대가 뭐 어때서.. 뉴욕대보다 못하진 않을거 같은데 ㅋㅋㅋㅋ,none,0,0,True,1,False
의문을 가질수도 있지 네티즌들이 판을 키웠네,none,0,0,True,1,False
그럼 문재인님이라고 해야하나?,offensive,1,1,True,0,False
암암리에 활동 많이했네 잘가셔~~,offensive,1,1,True,0,False
종교는 자유지~~~ 박근혜가 문제였지. 축하드려요~~~!!!,offensive,1,1,True,0,False
김병만이 뭔 잘못...?,none,0,0,True,1,False
저 프로듀서 유투브 컨텐츠 빨아먹는거 짜증나더라 불법은 아니다 그런데 빨아먹을라고 밑밥깔고 자기것만 홍보하고 정작 진행자 페이지는 홍보안하고..ㅉㅉ,none,0,0,True,1,False
여자들 진짜 질투 개쩌넼ㅋㅋㅋㅋㅋㅋㅋ,none,0,0,True,1,False
럴수럴수 이럴수!구리구리 양동근ㅋ축하합니다ㅎㅎ,none,0,0,True,1,False
내꺼 넘보지마,none,0,0,True,1,False
어이가없다 20년사귄다고ㅋㅋㅋ 서로 사랑하는건 절대 아니다,offensive,1,1,True,0,False
후기 올라온거 보면ㅋㅋㅋㅋㅋ요리안하고 서빙이랑 카운터만 본다고함ㅋㅋㅋㅋㅋ케,none,0,0,True,1,False
나만 비연예인이 더 싫은가 이세상에 연예인과 비연예인 둘만 존재하는것도 아니고..ㅋ,none,0,0,True,1,False
쩝 진짜 공개연애의 나쁜예ㅜㅜ,none,0,0,True,1,False
전현무 승ㅡ 개부럽다ㅡ 열심히 살았어야 대는데,none,0,0,True,1,False
"이번엔 경로우대 대상(주말극 ,일일극, 대하극아버지어머니역할) 아니라 제대로 된 대상같음",none,0,0,True,1,False
임신 하든말든 서민들 잘사는게중요,offensive,1,1,True,0,False
연예인들 다들 필라테스 하나 보네 재미 있나?,none,0,0,True,1,False
신랑은 모함? 난밥잘먹었는대 4끼 .. 그래서 살이 안빠짐 ㅜㅜ,none,0,0,True,1,False
제대로 크게 망했으면 좋겠다,offensive,1,1,True,0,False
하연주 보기싫음,hate,1,1,True,0,False
필모커플 비호감,none,0,0,True,1,False
손승연 가왕 이후에 계속 라인업 개폭망임 섭외할사람 떨어졌으면 그만하던가... 재미없어 ㅡ,none,0,0,True,1,False
이제 음악좀 듣자. 충분히 자숙했다.,none,0,0,True,1,False
이승윤 매니저 다시 불러라. 케미가 좋은 두 사람의 관계를 굳이 왜 이 시점에 과거사를 들춰 망가뜨리는지 이해가 안간다. 잘나가면 배아픈것이 종특이냐,offensive,1,1,True,0,False
세상에 이미 죽은 사람에게 상을 주다니 이게 말이 되냐?,offensive,1,1,True,0,False
음악퀄은 아직도 3사중에선 오이지야 음악 뮤비 무대 돈을 안아껴,none,0,0,True,1,False
아내의 맛은 전복맛인가요?,hate,1,1,True,0,False
류준열 교회검색^-^,offensive,1,1,True,0,False
여자 이쁘다.. 저러니 사귀지 부럽다,none,0,0,True,1,False
최명길 김소연 모녀로 질질 끌더니 김해숙 조연인가 했더니 암설정으로 연기 포텐 터지게 하는 ㅋㅋ 또 유선 김소연 울고불고 ㅠ 이번엔 김해숙 대상가자,none,0,0,True,1,False
호감2에 비호감2 이젠 딱 좋아,none,0,0,True,1,False
전원조작이라니 말도 안되죠그런개소리는 어디서 가져오시는거죠?아 기자님 상상력?,offensive,1,1,True,0,False
"3번으로 탈락을 면 했군, 이제 술수를 부리지말라~티가난다!",none,0,0,True,1,False
참나 통편집까지... 유영현만 안 나오면 되지이해가 안가네,none,0,0,True,1,False
아빠가 거기서 왜 나와 ㅋㅋㅋㅋㅋㅋㅋ......,none,0,0,True,1,False
에이미 제발 조용히 사세요..다른 사람에게 피해주지마라..너로 인하여 아무 이유없이 피해보게 하지마..재수앖네,offensive,1,1,True,0,False
진짜 난 송혜교 이쁜지 모르겠음. 참고로 31살 남자임.내 블로그 들어오면 알겠지만 남자 맞음.근데 진짜로 난 정미애가 더 이쁠거같음...,none,0,0,True,1,False
